booth_id,x,y,created_at,updated_at
B5309,0.668477,0.303367,2025-10-25 01:15:45.214876+00,2025-10-25 01:15:45.214876+00
B5401,0.661332,0.272027,2025-10-25 01:15:45.257859+00,2025-10-25 01:15:45.257859+00
B5402,0.675681,0.272027,2025-10-25 01:15:45.149183+00,2025-10-25 01:15:45.149183+00
B5404,0.70406,0.272027,2025-10-25 01:15:45.214876+00,2025-10-25 01:15:45.214876+00
B5405,0.718275,0.272027,2025-10-25 01:15:45.214876+00,2025-10-25 01:15:45.214876+00
B5406,0.718275,0.258979,2025-10-25 01:15:45.214876+00,2025-10-25 01:15:45.214876+00
B5407,0.70406,0.258979,2025-10-25 01:15:45.214876+00,2025-10-25 01:15:45.214876+00
B5409,0.675681,0.258979,2025-10-25 01:15:45.214876+00,2025-10-25 01:15:45.214876+00
B5410,0.661332,0.258979,2025-10-25 01:15:45.257859+00,2025-10-25 01:15:45.257859+00
B5411,0.661332,0.245938,2025-10-25 01:15:45.214876+00,2025-10-25 01:15:45.214876+00
B5412,0.675681,0.245938,2025-10-25 01:15:45.149183+00,2025-10-25 01:15:45.149183+00
B5414,0.70406,0.245938,2025-10-25 01:15:45.257859+00,2025-10-25 01:15:45.257859+00
B5415,0.718275,0.245938,2025-10-25 01:15:45.479232+00,2025-10-25 01:15:45.479232+00
B5501,0.661332,0.219857,2025-10-25 01:15:45.257859+00,2025-10-25 01:15:45.257859+00
B5502,0.675681,0.219857,2025-10-25 01:15:45.479232+00,2025-10-25 01:15:45.479232+00
B5504,0.70406,0.219857,2025-10-25 01:15:45.479232+00,2025-10-25 01:15:45.479232+00
B5505,0.718275,0.219857,2025-10-25 01:15:45.479232+00,2025-10-25 01:15:45.479232+00
B5506,0.718275,0.206817,2025-10-25 01:15:45.479232+00,2025-10-25 01:15:45.479232+00
B5507,0.70406,0.206817,2025-10-25 01:15:45.479232+00,2025-10-25 01:15:45.479232+00
B5509,0.675681,0.206817,2025-10-25 01:15:45.479232+00,2025-10-25 01:15:45.479232+00
B5510,0.661332,0.206817,2025-10-25 01:15:45.440311+00,2025-10-25 01:15:45.440311+00
B5601,0.661332,0.171536,2025-10-25 01:15:45.479232+00,2025-10-25 01:15:45.479232+00
B5602,0.675681,0.171536,2025-10-25 01:15:45.300322+00,2025-10-25 01:15:45.300322+00
B5604,0.704035,0.171536,2025-10-25 01:15:45.479232+00,2025-10-25 01:15:45.479232+00
B5605,0.718296,0.171536,2025-10-25 01:15:45.479232+00,2025-10-25 01:15:45.479232+00
B5606,0.718296,0.158504,2025-10-25 01:15:45.479232+00,2025-10-25 01:15:45.479232+00
B5607,0.704035,0.158504,2025-10-25 01:15:45.479232+00,2025-10-25 01:15:45.479232+00
B5609,0.675681,0.158504,2025-10-25 01:15:45.300322+00,2025-10-25 01:15:45.300322+00
B5610,0.661332,0.158504,2025-10-25 01:15:45.479232+00,2025-10-25 01:15:45.479232+00
B5611,0.661332,0.145478,2025-10-25 01:15:45.440311+00,2025-10-25 01:15:45.440311+00
B5612,0.675681,0.145478,2025-10-25 01:15:45.440311+00,2025-10-25 01:15:45.440311+00
B5614,0.711155,0.145478,2025-10-25 01:15:45.440311+00,2025-10-25 01:15:45.440311+00
B5701,0.661332,0.119413,2025-10-25 01:15:45.300322+00,2025-10-25 01:15:45.300322+00
B5702,0.675681,0.119413,2025-10-25 01:15:45.300322+00,2025-10-25 01:15:45.300322+00
B5704,0.70406,0.119413,2025-10-25 01:15:45.300322+00,2025-10-25 01:15:45.300322+00
B5705,0.718275,0.119413,2025-10-25 01:15:45.300322+00,2025-10-25 01:15:45.300322+00
B5706,0.718284,0.10638,2025-10-25 01:15:45.300322+00,2025-10-25 01:15:45.300322+00
B5707,0.704077,0.10638,2025-10-25 01:15:45.300322+00,2025-10-25 01:15:45.300322+00
B5709,0.675693,0.10638,2025-10-25 01:15:45.257859+00,2025-10-25 01:15:45.257859+00
B5710,0.661348,0.10638,2025-10-25 01:15:45.257859+00,2025-10-25 01:15:45.257859+00
B6001,0.477965,0.080276,2025-10-25 01:15:45.479232+00,2025-10-25 01:15:45.479232+00
B6002,0.499417,0.080276,2025-10-25 01:15:45.440311+00,2025-10-25 01:15:45.440311+00
B6007,0.557079,0.080276,2025-10-25 01:15:45.300322+00,2025-10-25 01:15:45.300322+00
B6008,0.578506,0.080276,2025-10-25 01:15:45.300322+00,2025-10-25 01:15:45.300322+00
B6010,0.599929,0.080276,2025-10-25 01:15:45.300322+00,2025-10-25 01:15:45.300322+00
B6011,0.67134,0.080276,2025-10-25 01:15:45.300322+00,2025-10-25 01:15:45.300322+00
B7001,0.827455,0.434155,2025-10-25 01:15:45.515797+00,2025-10-25 01:15:45.515797+00
S0901,0.495194,0.593845,2025-10-25 01:15:45.257859+00,2025-10-25 01:15:45.257859+00
S0902,0.621105,0.593263,2025-10-25 01:15:45.515797+00,2025-10-25 01:15:45.515797+00
S1001,0.470223,0.526213,2025-10-25 01:15:45.257859+00,2025-10-25 01:15:45.257859+00
S1002,0.47024,0.513165,2025-10-25 01:15:45.257859+00,2025-10-25 01:15:45.257859+00
S1003,0.470232,0.500132,2025-10-25 01:15:45.257859+00,2025-10-25 01:15:45.257859+00
